IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
65.49.237.173,4,4,0.00,106.81,0.00
65.49.237.173,4,4,0.00,110.16,0.00
65.49.237.237,4,4,0.00,114.10,0.00
65.49.237.237,4,4,0.00,114.39,0.00
65.49.237.39,4,4,0.00,114.40,0.00
65.49.237.39,4,4,0.00,115.89,0.00
65.49.236.151,4,4,0.00,118.46,0.00
65.49.237.39,4,4,0.00,121.11,0.00
65.49.237.39,4,4,0.00,121.48,0.00
65.49.237.39,4,4,0.00,123.13,0.00
65.49.236.151,4,4,0.00,126.20,0.00
65.49.236.53,4,4,0.00,127.24,0.00
65.49.236.151,4,4,0.00,127.84,0.00
65.49.237.173,4,4,0.00,127.96,0.00
65.49.236.151,4,4,0.00,132.26,0.00
65.49.236.151,4,4,0.00,133.41,0.00
65.49.236.151,4,4,0.00,134.11,0.00
65.49.236.153,4,4,0.00,135.30,0.00
65.49.237.237,4,4,0.00,137.58,0.00
65.49.236.151,4,4,0.00,137.90,0.00
65.49.237.39,4,4,0.00,139.12,0.00
65.49.237.114,4,4,0.00,139.88,0.00
65.49.236.53,4,4,0.00,140.51,0.00
65.49.237.114,4,4,0.00,142.22,0.00
5.226.51.161,4,4,0.00,142.67,0.00
65.49.237.39,4,4,0.00,143.15,0.00
65.49.236.151,4,4,0.00,143.84,0.00
65.49.236.153,4,4,0.00,144.00,0.00
65.49.237.237,4,4,0.00,144.80,0.00
65.49.236.151,4,4,0.00,145.17,0.00
65.49.236.151,4,4,0.00,145.39,0.00
65.49.237.173,4,4,0.00,145.71,0.00
65.49.237.39,4,4,0.00,145.81,0.00
65.49.236.53,4,4,0.00,145.85,0.00
65.49.237.173,4,4,0.00,146.52,0.00
65.49.236.53,4,4,0.00,146.55,0.00
65.49.236.71,4,4,0.00,146.73,0.00
65.49.236.53,4,4,0.00,146.83,0.00
65.49.237.114,4,4,0.00,146.91,0.00
65.49.236.151,4,4,0.00,146.93,0.00
65.49.237.173,4,4,0.00,146.98,0.00
65.49.236.71,4,4,0.00,147.63,0.00
65.49.237.114,4,4,0.00,147.74,0.00
65.49.236.71,4,4,0.00,148.09,0.00
65.49.237.237,4,4,0.00,149.06,0.00
65.49.236.153,4,4,0.00,149.08,0.00
65.49.237.114,4,4,0.00,149.53,0.00
65.49.237.237,4,4,0.00,149.86,0.00
65.49.236.151,4,4,0.00,149.98,0.00
65.49.237.39,4,4,0.00,149.98,0.00
65.49.237.237,4,4,0.00,150.04,0.00
65.49.237.237,4,4,0.00,150.46,0.00
65.49.237.173,4,4,0.00,150.59,0.00
65.49.237.237,4,4,0.00,150.77,0.00
65.49.237.237,4,4,0.00,150.91,0.00
65.49.236.71,4,4,0.00,151.72,0.00
65.49.236.53,4,4,0.00,152.10,0.00
65.49.237.173,4,4,0.00,152.15,0.00
65.49.237.173,4,4,0.00,152.43,0.00
65.49.236.53,4,4,0.00,152.63,0.00
65.49.236.71,4,4,0.00,152.70,0.00
65.49.237.173,4,4,0.00,152.88,0.00
65.49.236.53,4,4,0.00,152.90,0.00
65.49.236.153,4,4,0.00,152.95,0.00
65.49.236.153,4,4,0.00,153.39,0.00
65.49.236.53,4,4,0.00,153.55,0.00
65.49.236.71,4,4,0.00,154.40,0.00
65.49.236.53,4,4,0.00,154.68,0.00
65.49.236.53,4,4,0.00,154.77,0.00
65.49.236.151,4,4,0.00,154.79,0.00
65.49.237.173,4,4,0.00,154.81,0.00
65.49.237.173,4,4,0.00,155.10,0.00
65.49.236.53,4,4,0.00,155.18,0.00
65.49.237.173,4,4,0.00,155.98,0.00
65.49.236.53,4,4,0.00,156.38,0.00
65.49.237.173,4,4,0.00,156.72,0.00
65.49.236.53,4,4,0.00,157.09,0.00
65.49.237.114,4,4,0.00,158.23,0.00
65.49.237.237,4,4,0.00,158.25,0.00
65.49.237.173,4,4,0.00,158.49,0.00
65.49.236.151,4,4,0.00,159.53,0.00
65.49.236.151,4,4,0.00,159.77,0.00
65.49.236.151,4,4,0.00,159.83,0.00
45.159.48.212,4,4,0.00,160.52,0.00
65.49.236.153,4,4,0.00,161.21,0.00
65.49.236.71,4,4,0.00,161.67,0.00
65.49.236.71,4,4,0.00,162.10,0.00
65.49.237.114,4,4,0.00,162.70,0.00
103.201.131.100,4,4,0.00,163.19,0.00
65.49.236.153,4,4,0.00,163.76,0.00
133.242.249.74,4,4,0.00,163.78,0.00
65.49.236.153,4,4,0.00,164.27,0.00
65.49.237.237,4,4,0.00,164.33,0.00
65.49.237.114,4,4,0.00,165.34,0.00
65.49.236.153,4,4,0.00,166.02,0.00
65.49.237.237,4,4,0.00,166.11,0.00
65.49.237.114,4,4,0.00,166.16,0.00
65.49.236.53,4,4,0.00,166.46,0.00
65.49.236.151,4,4,0.00,166.64,0.00
65.49.236.53,4,4,0.00,167.96,0.00
65.49.236.151,4,4,0.00,168.37,0.00
65.49.237.173,4,4,0.00,168.60,0.00
65.49.237.8,4,4,0.00,169.14,0.00
65.49.236.53,4,4,0.00,169.26,0.00
65.49.237.237,4,4,0.00,171.84,0.00
65.49.236.53,4,4,0.00,172.20,0.00
65.49.236.151,4,4,0.00,174.21,0.00
141.11.139.143,4,4,0.00,177.34,0.00
65.49.237.237,4,4,0.00,177.64,0.00
65.49.237.237,4,4,0.00,178.24,0.00
65.49.236.71,4,4,0.00,178.93,0.00
65.49.236.151,4,4,0.00,179.95,0.00
193.32.150.2,4,4,0.00,180.50,0.00
43.239.249.232,4,4,0.00,181.21,0.00
116.206.93.251,4,4,0.00,181.27,0.00
65.49.237.8,4,4,0.00,181.43,0.00
195.245.242.119,4,4,0.00,184.52,0.00
65.49.236.71,4,4,0.00,184.62,0.00
103.232.213.140,4,4,0.00,184.86,0.00
149.62.44.184,4,4,0.00,186.03,0.00
65.49.236.71,4,4,0.00,186.18,0.00
65.49.236.151,4,4,0.00,186.38,0.00
65.49.236.151,4,4,0.00,186.53,0.00
65.49.236.151,4,4,0.00,187.18,0.00
65.49.236.151,4,4,0.00,187.24,0.00
65.49.236.71,4,4,0.00,187.26,0.00
65.49.237.8,4,4,0.00,187.63,0.00
45.143.233.192,4,4,0.00,189.07,0.00
52.185.157.46,4,4,0.00,192.55,0.00
65.49.237.8,4,4,0.00,193.38,0.00
65.49.236.71,4,4,0.00,193.91,0.00
65.49.237.8,4,4,0.00,194.66,0.00
156.231.115.39,4,4,0.00,196.22,0.00
52.185.184.6,4,4,0.00,197.01,0.00
65.49.237.39,4,4,0.00,198.05,0.00
65.49.237.8,4,4,0.00,200.43,0.00
65.49.236.151,4,4,0.00,200.80,0.00
65.49.237.237,4,4,0.00,203.07,0.00
65.49.237.173,4,4,0.00,203.10,0.00
65.49.237.8,4,4,0.00,203.89,0.00
65.49.237.237,4,4,0.00,205.41,0.00
65.49.236.71,4,4,0.00,205.61,0.00
65.49.237.173,4,4,0.00,206.19,0.00
65.49.236.71,4,4,0.00,207.55,0.00
103.140.136.61,4,4,0.00,208.50,0.00
