IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
34.150.83.73,4,4,0.00,12.79,0.00
34.150.83.73,4,4,0.00,13.46,0.00
103.213.245.121,4,4,0.00,16.38,0.00
103.213.245.121,4,4,0.00,17.39,0.00
93.179.127.89,4,4,0.00,18.12,0.00
94.103.6.208,4,4,0.00,18.28,0.00
103.213.245.121,4,4,0.00,20.75,0.00
103.213.245.121,4,4,0.00,22.25,0.00
93.179.127.89,4,4,0.00,24.58,0.00
34.150.83.73,4,4,0.00,24.71,0.00
34.150.83.73,4,4,0.00,25.74,0.00
103.251.236.142,4,4,0.00,31.80,0.00
93.179.127.89,4,4,0.00,41.06,0.00
94.103.6.208,4,4,0.00,45.86,0.00
34.150.83.73,4,4,0.00,93.65,0.00
94.103.4.144,4,4,0.00,95.44,0.00
34.150.83.73,4,4,0.00,96.09,0.00
93.179.127.89,4,4,0.00,96.57,0.00
34.150.83.73,4,4,0.00,100.39,0.00
34.150.83.73,4,4,0.00,101.13,0.00
103.213.245.121,4,4,0.00,102.85,0.00
93.179.124.142,4,4,0.00,105.05,0.00
94.103.4.144,4,4,0.00,105.51,0.00
156.59.91.77,4,4,0.00,106.82,0.00
94.103.4.144,4,4,0.00,108.67,0.00
38.207.36.154,4,4,0.00,120.52,0.00
34.150.83.73,4,4,0.00,124.12,0.00
34.150.83.73,4,4,0.00,127.61,0.00
103.213.245.121,4,4,0.00,132.08,0.00
45.251.243.201,4,4,0.00,133.71,0.00
34.150.83.73,4,4,0.00,135.34,0.00
34.150.83.73,4,4,0.00,160.31,0.00
103.213.245.121,4,4,0.00,161.73,0.00
34.150.83.73,4,4,0.00,179.11,0.00
34.150.83.73,4,4,0.00,188.68,0.00
34.150.83.73,4,4,0.00,194.02,0.00
8.218.180.123,4,4,0.00,194.15,0.00
103.213.245.121,4,4,0.00,195.10,0.00
103.213.245.121,4,4,0.00,196.49,0.00
94.103.6.72,4,4,0.00,202.63,0.00
103.213.245.121,4,4,0.00,226.02,0.00
94.103.6.20,4,4,0.00,228.78,0.00
34.150.83.73,4,4,0.00,229.09,0.00
93.179.127.54,4,4,0.00,229.25,0.00
94.103.6.208,4,4,0.00,233.03,0.00
94.103.6.20,4,4,0.00,233.05,0.00
94.103.6.208,4,4,0.00,233.69,0.00
94.103.4.37,4,4,0.00,234.49,0.00
34.150.83.73,4,4,0.00,234.52,0.00
103.213.245.121,4,4,0.00,234.92,0.00
94.103.6.20,4,4,0.00,235.26,0.00
34.150.83.73,4,4,0.00,240.24,0.00
94.103.4.37,4,4,0.00,240.33,0.00
94.103.6.208,4,4,0.00,240.41,0.00
94.103.4.97,4,4,0.00,252.90,0.00
103.213.245.121,4,4,0.00,253.11,0.00
34.150.83.73,4,4,0.00,272.97,0.00
34.150.83.73,4,4,0.00,273.04,0.00
34.150.83.73,4,4,0.00,276.25,0.00
34.150.83.73,4,4,0.00,277.96,0.00
93.179.127.89,4,4,0.00,279.45,0.00
34.150.83.73,4,4,0.00,281.92,0.00
34.150.83.73,4,4,0.00,286.89,0.00
34.150.83.73,4,4,0.00,287.83,0.00
94.103.6.72,4,4,0.00,288.12,0.00
34.150.83.73,4,4,0.00,288.41,0.00
8.218.180.123,4,4,0.00,288.83,0.00
94.103.4.97,4,4,0.00,290.31,0.00
93.179.127.54,4,4,0.00,292.18,0.00
94.103.6.208,4,4,0.00,292.32,0.00
93.179.127.207,4,4,0.00,293.49,0.00
34.150.83.73,4,4,0.00,295.16,0.00
34.150.83.73,4,4,0.00,296.00,0.00
94.103.4.97,4,4,0.00,296.58,0.00
27.50.48.7,4,4,0.00,302.42,0.00
46.8.199.20,4,4,0.00,306.37,0.00
103.160.204.8,4,4,0.00,306.97,0.00
94.103.6.72,4,4,0.00,312.60,0.00
93.179.124.183,4,4,0.00,313.53,0.00
93.179.127.54,4,4,0.00,324.84,0.00
94.103.6.72,4,4,0.00,327.14,0.00
93.179.127.89,4,4,0.00,327.15,0.00
34.150.83.73,4,4,0.00,327.19,0.00
103.213.245.121,4,4,0.00,327.58,0.00
103.213.245.121,4,4,0.00,327.60,0.00
94.103.6.208,4,4,0.00,327.96,0.00
103.213.245.121,4,4,0.00,328.03,0.00
93.179.124.183,4,4,0.00,328.22,0.00
93.179.127.89,4,4,0.00,328.27,0.00
103.213.245.121,4,4,0.00,328.28,0.00
94.103.6.208,4,4,0.00,328.42,0.00
94.103.6.208,4,4,0.00,328.53,0.00
93.179.127.89,4,4,0.00,328.55,0.00
8.217.225.47,4,4,0.00,329.71,0.00
93.179.127.89,4,4,0.00,330.91,0.00
103.213.245.121,4,4,0.00,331.15,0.00
93.179.124.183,4,4,0.00,331.31,0.00
94.103.6.72,4,4,0.00,331.32,0.00
103.213.245.121,4,4,0.00,331.49,0.00
94.103.4.97,4,4,0.00,332.04,0.00
94.103.4.97,4,4,0.00,332.12,0.00
94.103.6.208,4,4,0.00,332.20,0.00
93.179.124.142,4,4,0.00,332.25,0.00
93.179.127.89,4,4,0.00,332.32,0.00
93.179.124.183,4,4,0.00,332.32,0.00
94.103.6.20,4,4,0.00,332.44,0.00
94.103.4.97,4,4,0.00,332.60,0.00
93.179.124.183,4,4,0.00,332.62,0.00
94.103.4.97,4,4,0.00,332.64,0.00
94.103.5.180,4,4,0.00,332.64,0.00
93.179.127.207,4,4,0.00,333.28,0.00
93.179.127.89,4,4,0.00,333.39,0.00
103.213.245.121,4,4,0.00,333.47,0.00
94.103.6.20,4,4,0.00,333.63,0.00
103.213.245.121,4,4,0.00,333.77,0.00
94.103.6.208,4,4,0.00,333.89,0.00
93.179.127.89,4,4,0.00,333.93,0.00
116.204.178.147,4,4,0.00,339.41,0.00
116.204.178.147,4,4,0.00,339.50,0.00
93.179.127.89,4,4,0.00,339.57,0.00
34.150.83.73,4,4,0.00,341.78,0.00
93.179.127.89,4,4,0.00,343.19,0.00
45.251.243.201,4,4,0.00,347.27,0.00
34.150.83.73,4,4,0.00,347.74,0.00
156.236.69.175,4,4,0.00,350.61,0.00
116.204.177.8,4,4,0.00,350.69,0.00
116.204.178.139,4,4,0.00,359.61,0.00
93.179.127.207,4,4,0.00,360.25,0.00
93.179.127.89,4,4,0.00,360.31,0.00
61.92.203.28,4,4,0.00,360.51,0.00
116.204.178.139,4,4,0.00,360.53,0.00
116.204.177.4,4,4,0.00,360.93,0.00
116.204.178.139,4,4,0.00,369.56,0.00
47.57.13.107,4,4,0.00,369.87,0.00
116.204.177.4,4,4,0.00,370.13,0.00
43.243.71.18,4,4,0.00,370.17,0.00
116.204.177.8,4,4,0.00,370.28,0.00
116.204.177.4,4,4,0.00,370.37,0.00
116.204.177.4,4,4,0.00,370.66,0.00
62.60.239.48,4,4,0.00,370.71,0.00
116.204.178.139,4,4,0.00,370.73,0.00
94.103.6.208,4,4,0.00,374.22,0.00
116.204.177.8,4,4,0.00,380.66,0.00
116.204.177.8,4,4,0.00,380.85,0.00
116.204.177.4,4,4,0.00,381.12,0.00
116.204.177.8,4,4,0.00,381.12,0.00
93.179.124.142,4,4,0.00,381.38,0.00
116.204.178.147,4,4,0.00,381.51,0.00
116.204.177.4,4,4,0.00,391.68,0.00
116.204.178.147,4,4,0.00,391.94,0.00
116.204.177.4,4,4,0.00,392.19,0.00
116.204.178.139,4,4,0.00,392.22,0.00
16.163.73.77,4,4,0.00,392.38,0.00
116.204.177.4,4,4,0.00,401.07,0.00
116.204.178.139,4,4,0.00,401.21,0.00
116.204.178.147,4,4,0.00,401.72,0.00
93.179.124.142,4,4,0.00,401.72,0.00
